wage,lwage,sex,shs,hsg,scl,clg,ad,mw,so,we,ne,exp1,exp2,exp3,exp4,occ,occ2,ind,ind2
9.615384615384615,2.2633643798407643,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.49,0.343,0.2401,3600,11,8370,18
48.07692307692308,3.872802292274865,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,31.0,9.61,29.791,92.3521,3050,10,5070,9
11.057692307692308,2.403126322215923,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,3.24,5.832,10.4976,6260,19,770,4
13.942307692307692,2.634927936273247,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,6.25,15.625,39.0625,420,1,6990,12
28.846153846153847,3.361976668508874,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,4.84,10.648,23.4256,2015,6,9470,22
11.73076923076923,2.4622152385859297,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.01,0.001,0.0001,1650,5,7460,14
19.23076923076923,2.9565115604007097,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,17.64,74.088,311.1696,5120,17,7280,14
19.23076923076923,2.9565115604007097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,13.69,50.653,187.4161,5240,17,5680,9
12.0,2.4849066497880004,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,9.61,29.791,92.3521,4040,13,8590,19
19.23076923076923,2.9565115604007097,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.16,0.064,0.0256,3255,10,8190,18
17.307692307692307,2.8511510447428834,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.49,0.343,0.2401,4020,13,8270,18
12.01923076923077,2.486507931154974,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,9.0,27.0,81.0,4220,14,8270,18
12.01923076923077,2.486507931154974,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,0.3025,0.166375,0.09150625,3600,11,8270,18
13.461538461538462,2.5998366164619773,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.5,4.2025,8.615125,17.66100625,3645,11,8190,18
16.346153846153847,2.793992630902935,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,6.25,15.625,39.0625,110,1,7870,17
27.884615384615383,3.3280751168331926,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.56,4.096,6.5536,6355,19,770,4
21.6,3.0726933146901194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,7.29,19.683,53.1441,6320,19,770,4
8.653846153846153,2.158003864182938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,0.1225,0.042875,0.01500625,7410,20,570,3
19.23076923076923,2.9565115604007097,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.36,0.216,0.1296,7000,20,4690,9
13.186813186813186,2.5792173292592415,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.64,0.512,0.4096,4000,13,8680,20
10.683760683760683,2.3687248954985907,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,0.4225,0.274625,0.17850625,4300,15,8590,19
